source_product_id,product_id,existing_name,existing_barcode,manufacturer_barcode,barcode_evidence_status,identity_status,customer_facing_description,selling_price_action,category_action,approval_state,target_status,target_storefront_visible,notes
P299,cmtk4sfqw00utib1givs20mwk,Jack ‘n Jill Piattos Supersized Cheese,YSB-SARIMA-P299,4800016635724,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P352,cmtk4sg34010pib1grc379g43,Jack ‘n Jill Nova Homestyle Barbecue,YSB-SARIMA-P352,4800010076073,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P361,cmtk4sg5n011pib1gyrtmog78,Jack ‘n Jill V-Cut Spicy Barbecue,YSB-SARIMA-P361,4800016082641,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P023,cmtk4sci10029ib1ggerp7k5p,Gardenia California Raisin Loaf 400g,YSB-SARIMA-P023,4806502721445,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P024,cmtk4scia002dib1ghawtsxbd,Gardenia High Fiber Whole Wheat Bread 400g,YSB-SARIMA-P024,4806502721452,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P027,cmtk4scj2002pib1gq2hussan,Marby Super Loaf,YSB-SARIMA-P027,4800148535992,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P030,cmtk4scjq0031ib1giurdrvya,Marby Mini Mamon 70g,YSB-SARIMA-P030,4800148536791,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P031,cmtk4scjx0035ib1g6t5r5v5f,Marby Hopia Roll Mongo 220g,YSB-SARIMA-P031,4800148532267,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P201,,Barrio Fiesta Ginisang Bagoong Spicy 250g,YSB-SARIMA-P201,737552870453,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
P202,,Barrio Fiesta Ginisang Bagoong Regular 250g,YSB-SARIMA-P202,737552870439,VERIFIED_COMMITTED_BATCH_01_05,VERIFIED_EXISTING_EVIDENCE,TO_COMPLETE_FROM_EXACT_IDENTITY,PRESERVE_EXISTING_OPERATIONAL_VALUE,PRESERVE_AND_VALIDATE_EXISTING_TAXONOMY,HOLD_UNTIL_ALL_GATES_PASS,ACTIVE_AFTER_GATE,TRUE_AFTER_GATE,Existing product only; no new product creation.
